text,label,anger,disgust,fear,joy,neutral,sadness,surprise,text_label,nuscore,depression_model_label,depression_score
"I've been feeling restless for the past few days, now I'm nauseous, like someone...",1,0.001496611,0.001529837,0.987761855,0.000637741,0.003601738,0.002183116,0.002789185,NEGATIVE,0.9994922876358032,NEGATIVE,0.9994922876358032
"Oh no I'm restless. The time will come. I walk with Jesus. Then my heart is calm.. Every time I sing a song I don't know, tomorrow in this section I always want to cry . Because I sing it but I don't do it . Sorry God I worry too much ️",1,0.001982975,0.001102186,0.975399256,0.001372448,0.007872147,0.006987782,0.00528327,POSITIVE,0.9839695692062378,POSITIVE,0.9839695692062378
Controlling anxiety is not as easy as it sounds.,1,0.010526995,0.018445684,0.431643665,0.008684318,0.506082177,0.015292302,0.009324842,NEGATIVE,0.9988610744476318,NEGATIVE,0.9988610744476318
"Since the pandemic, I haven't opened my laptop for a day, I feel restless, I have a very heavy life load",1,0.001276173,0.00073353,0.990913272,0.000723857,0.00206016,0.002493164,0.001799893,NEGATIVE,0.9979233741760254,NEGATIVE,0.9979233741760254
People who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers.,1,0.006745012,0.009715564,0.949151337,0.00126525,0.027456842,0.00280667,0.002859351,POSITIVE,0.9866288900375366,POSITIVE,0.9866288900375366
"I don't know if my mind breaks down, but I don't want to think about it :( , why do I feel restless?",1,0.002684604,0.000936819,0.984574497,0.000796167,0.003215606,0.004330915,0.003461357,NEGATIVE,0.9932388067245483,NEGATIVE,0.9932388067245483
Sensitive feelings make the heart restless.,1,0.005346233,0.00474849,0.962788284,0.000848138,0.016070709,0.003928786,0.006269303,POSITIVE,0.980651319026947,POSITIVE,0.980651319026947
"Let's not be nervous, how about ™‚",1,0.003283754,0.002952457,0.953002691,0.002869308,0.029505096,0.004935593,0.00345117,POSITIVE,0.9597519040107727,POSITIVE,0.9597519040107727
"after being confessed, I'm really nervous",1,0.000903184,0.00035818,0.994793952,0.001029298,0.000847339,0.000999429,0.001068599,NEGATIVE,0.9862952828407288,NEGATIVE,0.9862952828407288
Restless.. and.. restless..,1,0.013448549,0.007443812,0.571480632,0.002772129,0.066124924,0.326876163,0.01185372,NEGATIVE,0.9994543194770813,NEGATIVE,0.9994543194770813
"This is the first time I've had an anxiety disorder in my sleep, and it wasn't really good. Even though I'm not thinking about anything, but I'm restless",1,0.002834546,0.003837653,0.961396694,0.001106131,0.015920948,0.008490714,0.006413423,NEGATIVE,0.9991493225097656,NEGATIVE,0.9991493225097656
It's been a week I feel restless and my head feels full I want to rest while I sleep,1,0.001460798,0.000457098,0.992713869,0.000686386,0.001191318,0.002355969,0.001134573,NEGATIVE,0.9987761378288269,NEGATIVE,0.9987761378288269
why am i nervous,1,0.001055492,0.000339768,0.993421614,0.000767738,0.001042262,0.002350919,0.001022123,NEGATIVE,0.9940451383590698,NEGATIVE,0.9940451383590698
"Anxious, all afraid, afraid of war, afraid of economic crisis, afraid of air pollution, disease outbreaks, clean water, etc. When are you happy?",1,0.002722053,0.001452048,0.970848441,0.0060132,0.013408169,0.003746364,0.001809881,NEGATIVE,0.9881466627120972,NEGATIVE,0.9881466627120972
oh my god why are you so nervous,1,0.013019592,0.005571523,0.437009901,0.003417835,0.009722253,0.012860353,0.518398523,NEGATIVE,0.9870854020118713,NEGATIVE,0.9870854020118713
feelings of restlessness have started to appear ±,1,0.005031058,0.00575411,0.013799931,0.002629767,0.021829819,0.949182928,0.001772353,NEGATIVE,0.9967934489250183,NEGATIVE,0.9967934489250183
Very restless bgsd,1,0.010603166,0.001736239,0.962441146,0.00107703,0.012946936,0.004727208,0.006468355,NEGATIVE,0.9973188042640686,NEGATIVE,0.9973188042640686
"The days are full of restlessness, with income that doesn't know the direction..Hopefully we can always get what we need and be given the advantage for a desire...5 - 5 - 21",1,0.019421155,0.01225734,0.009975364,0.030067973,0.40706107,0.478429079,0.042787969,NEGATIVE,0.9848610162734985,NEGATIVE,0.9848610162734985
1 hour wake up 1 hour wake up ngde the restless is here kle cak after polishing dwg,1,0.022269696,0.00322148,0.753000021,0.005401661,0.143285379,0.061036047,0.011785666,NEGATIVE,0.9937898516654968,NEGATIVE,0.9937898516654968
"Lately everything has been all of a sudden, suddenly happy, suddenly sad, suddenly anxious, suddenly relaxed, suddenly excited, suddenly lethargic, etc. I really don't like everything that is impromptu, yes, but what can I do? Ha ha ha",1,0.005117362,0.002065391,0.206090942,0.025869455,0.016860876,0.568809032,0.175186917,POSITIVE,0.9439239501953125,POSITIVE,0.9439239501953125
"I'm so sorry, but can you give me words of encouragement or not? I'm really worried that I can't make my kids happy.",1,0.0104539,0.007377918,0.262260258,0.009777245,0.041038543,0.572166145,0.096925974,NEGATIVE,0.9993280172348022,NEGATIVE,0.9993280172348022
"I don't like worrying, I don't like wehhh!",1,0.074482933,0.022514807,0.552189171,0.077092886,0.054825541,0.201979831,0.016914882,NEGATIVE,0.9958686828613281,NEGATIVE,0.9958686828613281
"Behind your online, there is a heart that is anxiously waiting to hear from you",1,0.008740325,0.00278349,0.173038885,0.015969398,0.73650521,0.017878642,0.045084096,POSITIVE,0.9983850717544556,POSITIVE,0.9983850717544556
nervous restless peramoy,1,0.001440719,0.00054491,0.990399897,0.001012583,0.003144746,0.001545815,0.001911204,NEGATIVE,0.9959908127784729,NEGATIVE,0.9959908127784729
I'm nervous I don't know why. I don't feel calm,1,0.001945244,0.001396485,0.867870212,0.10452123,0.010226496,0.0122617,0.001778672,NEGATIVE,0.9983552098274231,NEGATIVE,0.9983552098274231
"Sometimes I can't even rest. Always worried, worried about this, even though I'm tired",1,0.006156503,0.00160041,0.946169794,0.003597214,0.013080013,0.023409631,0.005986447,NEGATIVE,0.988761842250824,NEGATIVE,0.988761842250824
It feels uneasy.,1,0.002285699,0.025379295,0.91719532,0.002466155,0.039566286,0.009175741,0.003931464,NEGATIVE,0.9991618394851685,NEGATIVE,0.9991618394851685
"I'm so restless, I don't know why",1,0.002378591,0.00152438,0.980806351,0.000607959,0.007675502,0.00307899,0.003928238,NEGATIVE,0.9994046688079834,NEGATIVE,0.9994046688079834
"Day by day, that hope grows, the closer I feel, the more I expect from you, and sometimes I get anxious because of it. To the point that I became worried, worried that it would disturb my hopes. Especially disturbing km.",1,0.005277856,0.003552784,0.974953473,0.001327284,0.008144216,0.002707363,0.004037035,NEGATIVE,0.9096313118934631,NEGATIVE,0.9096313118934631
"Urmi has a fever, I'm already sad and restless.. What's more, this little girl has a fever, ha ha ha",1,0.004457389,0.003933461,0.380984187,0.004446306,0.024851359,0.573542178,0.007785131,NEGATIVE,0.9951909780502319,NEGATIVE,0.9951909780502319
"How many days have you been feeling restless at night and in the afternoon your mind is empty, why?",1,0.001401743,0.00078125,0.990694284,0.000565686,0.002739366,0.001908423,0.001909279,NEGATIVE,0.9992177486419678,NEGATIVE,0.9992177486419678
"From now on, it's not really good, being restless is tired by nature",1,0.009684683,0.008645322,0.873135388,0.001707764,0.069254383,0.032822464,0.004750062,NEGATIVE,0.9997301697731018,NEGATIVE,0.9997301697731018
"I haven't slept yet, and now my head hurts so bad. I'm sleepy, but I can't sleep, I've tried to brake but I'm restless ",1,0.018862879,0.011827899,0.766653299,0.001712441,0.01714875,0.175647676,0.008147051,NEGATIVE,0.9990573525428772,NEGATIVE,0.9990573525428772
Too anxious. Too worried. Too scared,1,0.001705129,0.000557658,0.986770153,0.00094268,0.004375268,0.003201128,0.002448079,NEGATIVE,0.9994876384735107,NEGATIVE,0.9994876384735107
Restless and agitated.,1,0.645843089,0.029662464,0.255556494,0.00114003,0.042556647,0.022089185,0.003152121,NEGATIVE,0.9981337189674377,NEGATIVE,0.9981337189674377
There will always be calm in the midst of restlessness,1,0.00531224,0.003445788,0.009472651,0.129424244,0.814178407,0.03412012,0.004046571,POSITIVE,0.9543578624725342,POSITIVE,0.9543578624725342
"dismayed = disappointed, anxious",1,0.01830323,0.001466812,0.228976667,0.010865558,0.024300773,0.691480815,0.024606137,NEGATIVE,0.999439537525177,NEGATIVE,0.999439537525177
This is why my heart is beating so fast. Very restless. But I don't know what I'm worried about. It's a great feeling.....,1,0.004531188,0.002682053,0.961391926,0.001384817,0.020154286,0.00588385,0.00397193,POSITIVE,0.9988117218017578,POSITIVE,0.9988117218017578
"More restless. Hopefully those who are there are okay.... Oh Allah protect him..... Amen, robbal alamin",1,0.023215728,0.016840592,0.358986557,0.005283675,0.541990817,0.032599896,0.021082673,NEGATIVE,0.9539162516593933,NEGATIVE,0.9539162516593933
"If my friends have replied to my tweet that has an opinion, I'm worried",1,0.008229607,0.00085545,0.96902746,0.002047185,0.00738393,0.004486416,0.007969854,NEGATIVE,0.9990068078041077,NEGATIVE,0.9990068078041077
"I'm hungry, weak, lethargic, restless.",1,0.007706891,0.024869025,0.180466905,0.002208319,0.03161604,0.750840068,0.002292698,NEGATIVE,0.9988231062889099,NEGATIVE,0.9988231062889099
Sudden restlessness. Why are you..,1,0.017858168,0.020016653,0.119874969,0.000952185,0.041765872,0.0443216,0.755210519,NEGATIVE,0.9984562397003174,NEGATIVE,0.9984562397003174
"Sleeps 3 hours, rest restless. Try a variety of positions and ways never fall asleep. I really need to be able to control this mind.",1,0.011787203,0.019233173,0.526391864,0.002740862,0.370018333,0.053014271,0.016814353,NEGATIVE,0.989473283290863,NEGATIVE,0.989473283290863
"STOP I'M GAMAU ANXIETY, GUNDAH GULANA AGAIN",1,0.06468451,0.014939461,0.019123495,0.004677595,0.858053744,0.011496523,0.027024576,NEGATIVE,0.997281551361084,NEGATIVE,0.997281551361084
Anxious,1,0.037738726,0.281915277,0.223125577,0.006446836,0.262274027,0.170148849,0.018350726,NEGATIVE,0.9986929297447205,NEGATIVE,0.9986929297447205
It's so restless work,1,0.008983135,0.009605876,0.865620434,0.001366401,0.092302531,0.010612258,0.011509262,NEGATIVE,0.9965947270393372,NEGATIVE,0.9965947270393372
"Is there anyone who, when sick, can't sleep well, but sleeps restlessly?",1,0.004216966,0.054622371,0.0196549,0.003566221,0.67244792,0.205765009,0.039726645,NEGATIVE,0.9961665272712708,NEGATIVE,0.9961665272712708
Please worry until you want to cry,1,0.008286518,0.002437781,0.917012751,0.002572621,0.032723371,0.030846387,0.006120596,NEGATIVE,0.9923500418663025,NEGATIVE,0.9923500418663025
"Exam on Saturday. Saturday's Starting Presentation..On Going: CT.Place CSE Dept. .Assignments….AND UNTIL NOW CLEAR CATIA TRAINING 2 PRODUCTS HAHAHAHA.. awesome, still in sleep mode, but I'm nervous, haha",1,0.003890729,0.000939215,0.920220017,0.011686131,0.023048799,0.011348536,0.028866595,POSITIVE,0.853385329246521,POSITIVE,0.853385329246521
"I'm nervous, when you come change anxiety and become anxious, I'm more worried. Tomorrow I will try to live without news from you again, quickly go away from my insincerity.",1,0.001539434,0.000584133,0.989455521,0.001799141,0.003191148,0.002089765,0.00134078,NEGATIVE,0.994616687297821,NEGATIVE,0.994616687297821
"How worried am I? *asked my other self. Until it was sent, sustenance had a good friend. Moved",1,0.017424319,0.002236842,0.863336504,0.004136879,0.02640768,0.056746505,0.029711358,POSITIVE,0.9961925745010376,POSITIVE,0.9961925745010376
Restless due to imagining too long and high until lazy to sleep.,1,0.006258874,0.009675794,0.026261836,0.002316635,0.110665292,0.835686088,0.009135465,NEGATIVE,0.9990000128746033,NEGATIVE,0.9990000128746033
"It's like something's up, something's weird, but I don't know what, it feels so restless.",1,0.007059345,0.03076997,0.777883232,0.00215598,0.132979676,0.015981438,0.033170387,NEGATIVE,0.9979436993598938,NEGATIVE,0.9979436993598938
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",1,0.157618135,0.10666623,0.001472525,0.233446226,0.377100587,0.120164789,0.003531507,POSITIVE,0.9954130053520203,POSITIVE,0.9954130053520203
"For God's sake, I'm so tired of worrying.",1,0.075982079,0.027977804,0.248950556,0.020216057,0.105696574,0.474194199,0.046982747,NEGATIVE,0.9995922446250916,NEGATIVE,0.9995922446250916
"For 3 years comfortable with this condition, anxiously wondering if a few days later everything will change? I don't know, another crisis of confidence",1,0.002566296,0.001931114,0.945102394,0.004596039,0.019171698,0.004082721,0.022549698,NEGATIVE,0.9843510389328003,NEGATIVE,0.9843510389328003
Feeling a little anxious today.,1,0.001353641,0.000751279,0.991274953,0.000932826,0.002095119,0.002250624,0.001341419,NEGATIVE,0.994096040725708,NEGATIVE,0.994096040725708
"Not regretting or holding grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",1,0.049114071,0.036564518,0.001204175,0.239075124,0.157176942,0.512350917,0.004514255,POSITIVE,0.9979356527328491,POSITIVE,0.9979356527328491
"Please be anxious , it must continue like this.",1,0.003659002,0.001924928,0.94732964,0.002436884,0.032123607,0.008029526,0.004496278,POSITIVE,0.9645823240280151,POSITIVE,0.9645823240280151
"Hmm, I don't know what to do, but I'm nervous",1,0.001369029,0.001605945,0.984459877,0.001224441,0.005504478,0.00420938,0.001626885,NEGATIVE,0.9942498207092285,NEGATIVE,0.9942498207092285
Very restless can't sleep ™,1,0.004796241,0.005794449,0.908581018,0.001269259,0.040888816,0.0332716,0.005398528,POSITIVE,0.7125486731529236,POSITIVE,0.7125486731529236
"I'm sad because I can't produce anything but I like to complain every day because I'm tired of taking care of children I see the body is getting bigger, yes I am getting more and more restless",1,0.003689517,0.001803664,0.026210554,0.001676463,0.007879357,0.956870615,0.001869745,NEGATIVE,0.9970353841781616,NEGATIVE,0.9970353841781616
"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse",1,0.049710285,0.033831697,0.847551227,0.001294147,0.052997559,0.011570673,0.003044453,NEGATIVE,0.9992110729217529,NEGATIVE,0.9992110729217529
Why are you restless and restless yo ”,1,0.005321256,0.003814962,0.964272857,0.00120795,0.016008656,0.003681643,0.005692683,NEGATIVE,0.9915462136268616,NEGATIVE,0.9915462136268616
I'm so nervous about what to do,1,0.000592683,0.00044518,0.994583309,0.001007609,0.000980996,0.001316644,0.001073638,NEGATIVE,0.9989818930625916,NEGATIVE,0.9989818930625916
"tbtb restless, tf is wrong with meh?",1,0.036382806,0.005504604,0.769990206,0.00158484,0.125370651,0.029436333,0.031730622,NEGATIVE,0.9966920614242554,NEGATIVE,0.9966920614242554
"I swear I can't sleep...sleep anyway, but I don't sleep...so restless..",1,0.009676264,0.006185419,0.383877218,0.004499321,0.086304925,0.477130294,0.032326538,POSITIVE,0.672918438911438,POSITIVE,0.672918438911438
"Why does it seem like tonight I'm restless, sad like I want to cry but I don't know what to be sad about",1,0.00120643,0.000607736,0.983177722,0.001142571,0.003088104,0.00901071,0.001766608,NEGATIVE,0.9983397722244263,NEGATIVE,0.9983397722244263
why so nervous? what is certain is not because thr is without tukin. ..but it's all because of you,1,0.006483637,0.001342885,0.832040489,0.003075287,0.029421352,0.017848989,0.109787352,POSITIVE,0.9507268667221069,POSITIVE,0.9507268667221069
The script is harmless. But continuing anxiety because the thesis is not finished can be dangerous for the heart.,1,0.010299011,0.013843266,0.932213604,0.003097758,0.027163703,0.011797232,0.00158561,NEGATIVE,0.9979493021965027,NEGATIVE,0.9979493021965027
can't you not disturb people's lives? until I'm anxious and can't sleep,1,0.010107079,0.001277152,0.972619295,0.000699482,0.005258802,0.008271668,0.001766553,POSITIVE,0.5281948447227478,POSITIVE,0.5281948447227478
"how do you keep it calm, original tbtb is excited and then you're sweaty or nervous """,1,0.004930867,0.003643602,0.950237036,0.002555809,0.028290445,0.007125126,0.003217117,NEGATIVE,0.7166870832443237,NEGATIVE,0.7166870832443237
And again suddenly feeling nervous and anxious without knowing why :(.,1,0.000822363,0.000506455,0.994131863,0.000982359,0.00120664,0.001321506,0.00102883,NEGATIVE,0.998030960559845,NEGATIVE,0.998030960559845
"I'm not feeling very good this morning, I'm really worried ”",1,0.003065416,0.001575725,0.925287366,0.005980805,0.009348546,0.05029973,0.004442495,NEGATIVE,0.9994696974754333,NEGATIVE,0.9994696974754333
"If you are restless & restless, just complain to your RABB and read the Qur'an so that the heart becomes cool and reduce cynicism towards others #bowochallenge #iwartabowochallenge",1,0.008117242,0.000245445,0.985824585,0.002327379,0.00089823,0.001717775,0.000869464,NEGATIVE,0.8899372220039368,NEGATIVE,0.8899372220039368
controlling excessive anxiety,1,0.012243194,0.005291239,0.889190018,0.003607945,0.067516588,0.017215054,0.004935913,NEGATIVE,0.9058104157447815,NEGATIVE,0.9058104157447815
"When you hear the song, your heart becomes calm and when you hear the Koran, your heart becomes tense and restless.. it's a sign that your heart is hit by CORONA BLOOD.. you need to think about it.. because life is not a game.",1,0.014933835,0.004180798,0.926464736,0.002624634,0.037165843,0.010997655,0.003632637,POSITIVE,0.7297011613845825,POSITIVE,0.7297011613845825
restless restlessness haunts self,1,0.0126562,0.010602336,0.629685163,0.003230337,0.108697295,0.230465516,0.004663125,NEGATIVE,0.9938900470733643,NEGATIVE,0.9938900470733643
"The peak period of my stress has passed and I am only noisy now. After going out with my friends yesterday, that makes me feel kinda better. At first I was afraid and anxious to go out, yes, because anxiety is still active. But well I hope I'll gain some weight after this storm, bismillaah",1,0.003174993,0.002586273,0.862772167,0.049562547,0.056173064,0.022055408,0.003675504,POSITIVE,0.7010913491249084,POSITIVE,0.7010913491249084
I'm most worried when my mom is sick.,1,0.003047871,0.002224621,0.934947014,0.003524355,0.010461067,0.034001425,0.011793666,NEGATIVE,0.9937893748283386,NEGATIVE,0.9937893748283386
don't worry yet :),1,0.069544904,0.015018684,0.440872401,0.016967628,0.313708395,0.07181485,0.072073147,POSITIVE,0.989055871963501,POSITIVE,0.989055871963501
"""Yesterday, I was worried half to death, now my wife is aware of being stiff again... how about that?""",1,0.029831443,0.012271566,0.823501348,0.004760374,0.037109453,0.013050346,0.079475425,NEGATIVE,0.9984514713287354,NEGATIVE,0.9984514713287354
The last time I felt this nervous was on Wednesday. When he found out his mother died. I hope this isn't a sign anymore,1,0.001114996,0.001102195,0.988753796,0.001160829,0.003425146,0.00198313,0.002459932,NEGATIVE,0.9971393346786499,NEGATIVE,0.9971393346786499
I don't know how many years it took me to jump in until I could feel the descent without worrying ²,1,0.003522233,0.002113385,0.972883344,0.001313456,0.006292454,0.008115975,0.005759118,POSITIVE,0.979882001876831,POSITIVE,0.979882001876831
